id,name,latitude,longitude
2436,Comodoro Pierrestegui Airport,-31.2969,-57.9966
2437,Gualeguaychu Airport,-33.0103,-58.6131
2438,Junin Airport,-34.5459,-60.9306
2439,General Urquiza Airport,-31.7948,-60.4804
2440,Islas Malvinas Airport,-32.9036,-60.785
2441,Sauce Viejo Airport,-31.7117,-60.8117
2442,Jorge Newbery Airpark,-34.5592,-58.4156
2443,Ingeniero Ambrosio Taravella Airport,-31.323601,-64.208
2444,Chamical Airport,-30.34530067,-66.29360198
2445,San Fernando Airport,-34.4532,-58.5896
2446,Mariano Moreno Airport,-34.5606,-58.7896
2447,La Plata Airport,-34.9722,-57.8947
2448,Moron Airport,-34.6763,-58.6428
2449,El Palomar Airport,-34.6099,-58.6126
2450,Chos Malal Airport,-37.4446983337,-70.2225036621
2451,Dr. Arturo H. Illia Airport,-39.0007019043,-67.6204986572
2452,El Plumerillo Airport,-32.8316993713,-68.7929000854
2453,Comodoro D.R. Salomón Airport,-35.493598938,-69.5743026733
2454,Suboficial Ay Santiago Germano Airport,-34.588299,-68.4039
2455,Catamarca Airport,-28.5956001282,-65.751701355
2456,Vicecomodoro Angel D. La Paz Aragonés Airport,-27.7655563354,-64.3099975586
2457,Tinogasta Airport,-28.0377998352,-67.5802993774
2458,Capitan V A Almonacid Airport,-29.3815994263,-66.7957992554
2459,Chilecito Airport,-29.2238998413,-67.4389038086
2460,Teniente Benjamin Matienzo Airport,-26.8409,-65.104897
2461,Domingo Faustino Sarmiento Airport,-31.571501,-68.418198
2462,Area De Material Airport,-33.0850982666,-64.2612991333
2463,Villa Dolores Airport,-31.9451999664,-65.1463012695
2464,La Quiaca Airport,-22.1506004333,-65.57749938959999
2465,Marcos Juarez Airport,-32.6836,-62.157801
2466,Villa Reynolds Airport,-33.7299003601,-65.3873977661
2467,Brigadier Mayor D Cesar Raul Ojeda Airport,-33.2732009888,-66.3563995361
2468,Corrientes Airport,-27.4455,-58.7619
2469,Resistencia International Airport,-27.45,-59.0561
2470,Formosa Airport,-26.2127,-58.2281
2471,Cataratas Del Iguazú International Airport,-25.737301,-54.4734
2472,Paso De Los Libres Airport,-29.6894,-57.1521
2473,Monte Caseros Airport,-30.2719,-57.6402
2474,Libertador Gral D Jose De San Martin Airport,-27.3858,-55.9707
2475,Termal Airport,-26.753611,-60.492222
2476,Martin Miguel De Guemes International Airport,-24.8560009003,-65.4861984253
2477,Gobernador Horacio Guzman International Airport,-24.392799,-65.097801
2478,Orán Airport,-23.1527996063,-64.3292007446
2479,Laboulaye Airport,-34.1353988647,-63.36230087279999
2481,El Dorado Airport,-26.3974990845,-54.5746994019
2482,Goya Airport,-29.1058,-59.2189
2483,Oberá Airport,-27.5181999207,-55.1241989136
2484,Reconquista Airport,-29.2103,-59.68
2485,Curuzu Cuatia Airport,-29.7706,-57.9789
2486,El Bolson Airport,-41.9431991577,-71.5323028564
2487,General E. Mosconi Airport,-45.7853,-67.4655
2488,Brigadier Antonio Parodi Airport,-42.908000946,-71.139503479
2490,Almirante Marco Andres Zar Airport,-43.2105,-65.2703
2491,Gobernador Castello Airport,-40.8692,-63.0004
2492,El Tehuelche Airport,-42.7592,-65.1027
2494,Puerto Deseado Airport,-47.7353,-65.9041
2495,Hermes Quijada International Airport,-53.7777,-67.7494
2496,Piloto Civil N. Fernández Airport,-51.6089,-69.3126
2497,Malvinas Argentinas Airport,-54.8433,-68.2958
2498,Capitan D Daniel Vazquez Airport,-49.3068,-67.8026
2499,Perito Moreno Airport,-46.537899,-70.978699
2500,Santa Cruz Airport,-50.0165,-68.5792
2501,Comandante Espora Airport,-38.725,-62.1693
2502,Brigadier D.H.E. Ruiz Airport,-37.446098,-61.889301
2503,Olavarria Airport,-36.8899993896,-60.2165985107
2504,General Pico Airport,-35.6962013245,-63.7583007812
2505,Tres Arroyos Airport,-38.3869,-60.3297
2506,Bolivar Airport,-36.1866,-61.0764
2508,Ástor Piazzola International Airport,-37.9342,-57.5733
2509,Presidente Peron Airport,-38.949001,-68.155701
2511,Comodoro Pedro Zanni Airport,-35.8446,-61.8576
2512,Santa Rosa Airport,-36.588299,-64.275703
2513,San Carlos De Bariloche Airport,-41.151199,-71.157501
2514,Héroes De Malvinas Airport,-37.2374000549,-59.2279014587
2515,Villa Gesell Airport,-37.2354,-57.0292
2516,Cutral-Co Airport,-38.9397010803,-69.2646026611
2517,Aviador C. Campos Airport,-40.075401,-71.137299
2518,Conceição do Araguaia Airport,-8.348349571228027,-49.30149841308594
2519,Campo Délio Jardim de Mattos Airport,-22.875099,-43.384701
2520,Amapá Airport,2.07751,-50.8582
2521,Araraquara Airport,-21.8120002747,-48.1329994202
2522,Santa Maria Airport,-10.984000206,-37.0703010559
2524,Piloto Osvaldo Marques Dias Airport,-9.8663892746,-56.1049995422
2525,Araçatuba Airport,-21.1413002014,-50.4247016907
2526,Val de Cans/Júlio Cezar Ribeiro International Airport,-1.3792500495900002,-48.4762992859
2527,Comandante Gustavo Kraemer Airport,-31.39049911499,-54.112201690674
2528,Pampulha - Carlos Drummond de Andrade Airport,-19.85120010375977,-43.95059967041016
2529,Bacacheri Airport,-25.4050998688,-49.23199844359999
2530,Major Brigadeiro Doorgal Borges Airport,-21.2672,-43.761101
2531,Presidente Juscelino Kubistschek International Airport,-15.86916732788086,-47.92083358764648
2532,Bauru Airport,-22.3449993134,-49.0537986755
2533,Atlas Brasil Cantanhede Airport,2.84138894081,-60.6922225952
2534,Barra do Garças Airport,-15.8613004684,-52.3889007568
2535,Cascavel Airport,-25.0002994537,-53.5008010864
2536,Cachimbo Airport,-9.33393955231,-54.9654006958
2537,Tancredo Neves International Airport,-19.62444305419922,-43.97194290161133
2538,Campo Grande Airport,-20.4687004089,-54.6725006104
2539,Serafin Enoss Bertaso Airport,-27.134199142456,-52.656600952148
2540,Brig. Lysias Augusto Rodrigues Airport,-7.32043981552124,-47.45869827270508
2541,Diomício Freitas Airport,-28.7244434357,-49.4213905334
2542,Canoas Air Force Base,-29.945928,-51.144413
2543,Bartolomeu Lisandro Airport,-21.698299408,-41.301700592
2544,Corumbá International Airport,-19.0119438171,-57.6713905334
2545,Afonso Pena Airport,-25.5284996033,-49.1758003235
2546,Caravelas Airport,-17.652299880981,-39.253101348877
2547,Hugo Cantergiani Regional Airport,-29.1970996857,-51.1875
2548,Marechal Rondon Airport,-15.6528997421,-56.1166992188
2549,Cruzeiro do Sul Airport,-7.59990978241,-72.7695007324
2550,Presidente Prudente Airport,-22.1751003265,-51.4245986938
2551,Eduardo Gomes International Airport,-3.038609981536865,-60.04970169067383
2552,Jacareacanga Airport,-6.233160018920898,-57.77690124511719
2553,São Pedro da Aldeia Airport,-22.81290054321289,-42.09260177612305
2554,Cataratas International Airport,-25.60027885437012,-54.48500061035156
2555,Hercílio Luz International Airport,-27.670278549194336,-48.5525016784668
2556,Fernando de Noronha Airport,-3.85493,-32.423302
2558,Furnas Airport,-20.702800750732425,-46.33530044555664
2559,Pinto Martins International Airport,-3.776279926300049,-38.53260040283203
2560,Rio Galeão – Tom Jobim International Airport,-22.8099994659,-43.2505569458
2561,Guajará-Mirim Airport,-10.786399841308594,-65.28479766845703
2562,Santa Genoveva Airport,-16.631999969482422,-49.220699310302734
2563,EMBRAER - Unidade Gavião Peixoto Airport,-21.773700714111328,-48.40510177612305
2564,Guarulhos - Governador André Franco Montoro International Airport,-23.435556411743164,-46.47305679321289
2565,Guaratinguetá Airport,-22.79159927368164,-45.20479965209961
2566,Altamira Airport,-3.2539100646973,-52.254001617432
2567,Itacoatiara Airport,-3.127259969711304,-58.481201171875
2568,Itaituba Airport,-4.2423400878906,-56.000701904297
2569,Bahia - Jorge Amado Airport,-14.815999984741,-39.033199310303
2570,Usiminas Airport,-19.470699310303,-42.487598419189
2571,Francisco Vilela do Amaral Airport,-18.4447002411,-49.2134017944
2572,Prefeito Renato Moreira Airport,-5.53129,-47.459999
2573,Belém/Brigadeiro Protásio de Oliveira Airport,-1.4141600132,-48.4607009888
2574,Francisco de Assis Airport,-21.79150009155273,-43.38679885864258
2575,Presidente Castro Pinto International Airport,-7.145833015440001,-34.9486122131
2576,Lauro Carneiro de Loyola Airport,-26.22450065612793,-48.797401428222656
2577,Presidente João Suassuna Airport,-7.26992,-35.8964
2578,Viracopos International Airport,-23.0074005127,-47.1344985962
2579,Lages Airport,-27.7821006775,-50.28150177
2580,Lins Airport,-21.663999557495,-49.730499267578
2581,Governador José Richa Airport,-23.3335990906,-51.1301002502
2582,Bom Jesus da Lapa Airport,-13.2621002197,-43.4081001282
2583,Lagoa Santa Airport,-19.66160011291504,-43.89640045166016
2584,João Correa da Rocha Airport,-5.36858987808,-49.1380004883
2585,Monte Dourado Airport,-0.889839,-52.6022
2586,Regional de Maringá - Sílvio Nane Junior Airport,-23.4794445038,-52.01222229
2587,Mário Ribeiro Airport,-16.706899642899998,-43.818901062
2589,Ponta Pelada Airport,-3.1460399627685547,-59.98630142211914
2590,Zumbi dos Palmares Airport,-9.510809898376465,-35.79169845581055
2591,Alberto Alcolumbre Airport,0.0506640002131,-51.0722007751
2592,Dix-Sept Rosado Airport,-5.2019200325,-37.3642997742
2593,Campo de Marte Airport,-23.5090999603,-46.6377983093
2594,Manicoré Airport,-5.8113799095154,-61.278301239014
2595,Ministro Victor Konder International Airport,-26.879999,-48.651402
2596,Santo Ângelo Airport,-28.2817,-54.169102
2597,Governador Aluízio Alves International Airport,-5.768056,-35.376111
2598,Oiapoque Airport,3.85548996925354,-51.79690170288086
2599,Salgado Filho Airport,-29.994400024414062,-51.1713981628418
2600,Prefeito Doutor João Silva Filho Airport,-2.89374995232,-41.73199844359999
2601,Poços de Caldas - Embaixador Walther Moreira Salles Airport,-21.843000411987,-46.567901611328
2602,Lauro Kurtz Airport,-28.243999,-52.326599
2603,João Simões Lopes Neto International Airport,-31.718399,-52.327702
2604,Senador Nilo Coelho Airport,-9.362409591674805,-40.56909942626953
2605,Porto Nacional Airport,-10.719400405883787,-48.39970016479492
2606,Ponta Porã Airport,-22.54960060119629,-55.702598571777344
2607,Governador Jorge Teixeira de Oliveira Airport,-8.70928955078125,-63.90230178833008
2609,Plácido de Castro Airport,-9.868888854980469,-67.89805603027344
2610,Guararapes - Gilberto Freyre International Airport,-8.126489639282227,-34.92359924316406
2612,Santos Dumont Airport,-22.9104995728,-43.1631011963
2613,Leite Lopes Airport,-21.136388778686523,-47.776668548583984
2614,Santa Cruz Air Force Base,-22.9324,-43.719101
2615,Professor Urbano Ernesto Stumpf Airport,-23.22920036315918,-45.86149978637695
2616,Marechal Cunha Machado International Airport,-2.585360050201416,-44.23410034179688
2618,Congonhas Airport,-23.626110076904297,-46.65638732910156
2619,Prof. Eribelto Manoel Reino State Airport,-20.8166007996,-49.40650177
2620,Base Aérea de Santos Airport,-23.928056716918945,-46.29972076416016
2621,Deputado Luiz Eduardo Magalhães International Airport,-12.9086112976,-38.3224983215
2622,Trombetas Airport,-1.489599943161,-56.396800994873
2623,Senador Petrônio Portela Airport,-5.0599398613,-42.8235015869
2624,Tefé Airport,-3.38294005394,-64.7240982056
2625,Tarauacá Airport,-8.1552600860596,-70.783302307129
2626,Telêmaco Borba Airport,-24.317800521850582,-50.6515998840332
2627,Tiriós Airport,2.22347,-55.946098
2628,Tabatinga Airport,-4.2556700706482,-69.93579864502
2629,Tucuruí Airport,-3.7860100269318,-49.72029876709
2630,São Gabriel da Cachoeira Airport,-0.14835,-66.9855
2631,Paulo Afonso Airport,-9.4008798599243,-38.250598907471
2632,Rubem Berta Airport,-29.7821998596,-57.0382003784
2633,Ten. Cel. Aviador César Bombonato Airport,-18.883612,-48.225277
2635,Mário de Almeida Franco Airport,-19.764722824097,-47.966110229492
2636,Major Brigadeiro Trompowsky Airport,-21.5900993347,-45.4733009338
2637,Brigadeiro Camarão Airport,-12.694399833679,-60.098300933838
2638,Eurico de Aguiar Salles Airport,-20.258057,-40.286388
2639,Iauaretê Airport,0.6075000166893,-69.18579864502
2640,Campo Fontenelle Airport,-21.984600067138672,-47.33480072021485
2641,Chacalluta Airport,-18.348499,-70.338699
2642,Balmaceda Airport,-45.91609954833984,-71.68949890136719
2643,El Bosque Airport,-33.561798095703125,-70.68840026855469
2644,Chile Chico Airport,-46.58330154418945,-71.6874008178711
2645,El Loa Airport,-22.498199462890625,-68.90360260009766
2646,Gral. Bernardo O´Higgins Airport,-36.58250045776367,-72.03140258789062
2647,Pdte. Carlos Ibañez del Campo Airport,-53.002602,-70.854599
2648,Teniente Vidal Airport,-45.594200134277344,-72.1061019897461
2649,Diego Aracena Airport,-20.535200119018555,-70.1812973022461
