source,target
2786,2789
2812,2789
2812,2808
6067,2789
2801,2781
2801,2806
2789,2786
2789,2812
2789,6067
2789,2781
2789,2806
2781,2801
2781,2789
2781,2806
2808,2812
2806,2801
2806,2789
2806,2781
2709,2673
2709,2688
2715,2673
2673,2709
2673,2715
2673,6045
2673,2688
2670,2688
6045,2673
2688,2709
2688,2673
2688,2670
7376,4214
7373,2531
7373,2621
2531,7373
2531,7367
2531,2613
2535,2564
2548,2562
2548,7367
2538,7380
7380,2538
7380,2564
2560,2613
2564,2535
2564,7380
2564,2613
2564,2635
2564,2633
2564,6039
2562,2548
2562,4214
2562,2613
2562,2633
7367,2531
7367,2548
2528,2613
4214,7376
4214,2562
2613,2531
2613,2560
2613,2564
2613,2562
2613,2528
2613,2619
2613,2633
2619,2613
2621,7373
2621,6039
2635,2564
2635,2633
2633,2564
2633,2562
2633,2613
2633,2635
6039,2564
6039,2621
2651,2649
2656,2650
2649,2650
2650,2651
2442,2816
2442,6777
2699,2816
2545,2816
3988,2816
2560,2816
2564,2816
2816,2442
2816,2699
2816,2545
2816,3988
2816,2560
2816,2564
2816,2599
2816,2650
6777,2442
2599,2816
2650,2816
2442,2508
2442,2439
2442,2440
2442,2441
2501,2508
2501,2490
2513,2487
2513,2488
2443,2452
2443,2440
2487,2509
2487,2490
2487,2496
2488,2513
2488,2487
2508,2442
2508,2501
2452,2443
2452,2509
2509,2487
2509,2452
6777,2440
2439,2442
2490,2501
2490,2513
2490,2487
2490,2488
2495,2496
2496,2487
2496,2495
2496,2497
2440,2442
2440,2443
2440,6777
2441,2442
6740,2750
2749,2743
2726,2709
2726,2729
2752,2709
2709,2726
2709,2752
2709,2712
2709,2717
2709,2729
2709,2719
2709,2725
2709,2732
2709,2738
2709,6054
2709,2742
2709,2706
2709,7355
2709,2747
2709,2750
2709,2751
2709,2753
2709,7359
2709,2756
2711,2729
2712,2709
2715,2722
2715,2706
2715,2753
2717,2709
2729,2726
2729,2709
2729,2711
2729,6053
2729,2753
2719,2709
2722,2715
2725,2709
2728,6052
6052,2728
6051,2706
2732,2709
2732,2756
6053,2729
2738,2709
2738,2756
6054,2709
6054,2756
2742,2709
2706,2709
2706,2715
2706,6051
2743,2749
7355,2709
7355,2751
2747,2709
2750,6740
2750,2709
2751,2709
2751,7355
2753,2709
2753,2715
2753,2729
7359,2709
2756,2709
2756,2732
2756,2738
2756,6054
2821,2851
2821,2850
2821,2856
2821,2868
2822,2851
2851,2821
2851,2822
2851,2848
2851,2849
2851,2856
2851,2870
2848,2851
2848,2868
2849,2851
2850,2821
2850,2851
2856,2821
2856,2851
2868,2821
2868,2848
2870,2851
2772,4247
2772,2768
2759,2769
2761,2769
6056,2769
2762,2764
2762,4247
2762,2769
2764,2762
6058,2769
4247,2772
4247,2762
4247,2769
2769,2759
2769,2761
2769,6056
2769,2762
2769,6058
2769,4247
2768,2772
2802,2789
2545,2599
2673,6045
2673,2688
2792,2802
2789,2650
2762,2771
2665,2647
2650,2789
2650,2665
6045,2673
2688,2673
7407,2621
2582,7407
2621,2582
3988,2650
2650,3988
7395,8237
2524,2548
2522,2590
2522,2610
2522,2621
2522,2578
2521,2578
2525,2564
2525,2578
2566,2526
2566,4092
7376,2531
7376,2584
7376,4214
7399,2551
2526,2566
2526,7532
2526,2537
2526,2559
2526,2572
2526,2584
2526,2551
2526,2591
2526,4092
4209,2537
4209,2612
4209,2621
4209,2578
7373,2531
7373,2621
2531,7376
2531,7373
2531,2548
2531,2537
2531,2564
2531,2584
2531,4214
2531,2633
2531,2578
2533,2551
2637,2548
8242,2578
2535,2545
2535,2578
2543,2612
2541,2578
7364,2528
7364,2578
2548,2524
2548,2531
2548,2637
2548,2538
2548,2537
2548,2564
2548,2562
2548,6073
2548,2581
2548,2586
2548,9771
2548,7367
2548,2607
2548,7382
2548,2619
2548,2578
2618,2612
2538,2548
2538,2544
2538,2564
2538,2578
7398,2551
7532,2526
7532,2537
7532,2584
4215,2578
2544,2538
2537,2526
2537,4209
2537,2531
2537,2548
2537,7532
2537,2577
2537,2545
2537,2559
2537,2564
2537,2562
2537,2572
2537,2570
2537,8180
2537,2551
2537,2587
2537,2599
2537,2613
2537,2610
2537,2612
2537,2616
2537,2621
2537,2635
2537,2633
2537,2578
2537,6039
2537,2638
2577,2604
2545,2535
2545,2537
2545,2547
2545,2564
2545,2554
2545,2581
2545,2586
2545,2599
2545,2612
2545,2578
2547,2545
2547,2578
7380,2578
8247,2624
2556,2597
2556,2610
2555,2578
2559,2526
2559,2537
2559,2575
2559,2597
2559,2610
2559,2616
2559,2623
2559,2578
2560,2578
2564,2525
2564,2531
2564,2548
2564,2538
2564,2537
2564,2545
2564,2562
2564,2569
2564,2570
2564,2595
2564,2528
2564,2599
2564,2610
2564,2612
2564,2621
6735,2528
2562,2548
2562,2537
2562,2564
2562,4214
2562,2612
2562,2578
2554,2545
2554,2599
2554,2578
2572,2526
2572,2537
2569,2564
2569,2621
2569,2578
2570,2537
2570,2564
2570,2528
8258,2624
2568,4092
8180,2537
8180,2578
6034,2578
2576,2599
2576,2578
2575,2559
2575,2621
2575,2578
6073,2548
8238,6038
8238,2578
2581,2548
2581,2545
2581,2586
2581,2599
2581,2578
6036,2621
2584,7376
2584,2526
2584,2531
2584,7532
2584,2629
2551,7399
2551,2526
2551,2533
2551,7398
2551,2537
2551,7372
2551,2607
2551,4092
2551,2628
2551,2624
2551,2578
2591,2526
2590,2522
2590,2610
2590,2578
6037,2612
6037,2578
2586,2548
2586,2545
2586,2581
2586,2599
2586,2578
6038,8238
6038,2578
2587,2537
2587,2528
2597,2537
2597,2556
2597,2610
2597,2578
2595,2564
2595,2599
2595,2578
9771,2548
8256,2624
7367,2548
2631,2621
2603,2599
2602,2599
2602,2578
7372,2551
2528,7395
2528,7364
2528,2564
2528,6735
2528,2570
2528,2587
2528,8237
2528,2615
2528,2633
2528,2578
2528,6039
4214,7376
4214,2531
4214,2562
2604,2537
2599,2537
2599,2545
2599,2564
2599,2554
2599,2576
2599,2581
2599,2586
2599,2595
2599,2603
2599,2602
2599,6040
2599,2612
2599,2578
2599,2539
8237,2528
2550,2578
2607,2548
2607,2551
2607,2609
2613,2537
2613,2619
2613,2578
2609,2607
2610,2522
2610,2537
2610,2556
2610,2559
2610,2564
2610,2590
2610,2597
2610,2621
2610,2623
2610,2578
6040,2599
7382,2548
7394,2578
2612,4209
2612,2543
2612,2618
2612,2537
2612,2545
2612,2564
2612,2562
2612,6037
2612,2599
2612,2615
2612,2578
2612,2638
2615,2528
2615,2612
2630,2624
2619,2548
2619,2613
2619,2578
2616,2537
2616,2559
2616,2623
2621,2522
2621,4209
2621,7373
2621,2537
2621,2564
2621,2569
2621,2575
2621,6036
2621,2631
2621,2610
2621,2578
2621,6039
2621,2638
4092,2566
4092,2526
4092,2568
4092,2551
4092,2622
2628,2551
2624,8247
2624,8258
2624,2551
2624,8256
2624,2630
2623,2559
2623,2610
2623,2616
2623,2578
2622,4092
2629,2526
2635,2537
2635,2578
2633,2531
2633,2537
2633,2528
2633,2578
2578,2522
2578,2521
2578,2525
2578,4209
2578,2531
2578,8242
2578,2535
2578,2541
2578,7364
2578,2548
2578,2538
2578,4215
2578,2537
2578,2545
2578,2547
2578,7380
2578,2555
2578,2559
2578,2560
2578,2562
2578,2554
2578,2569
2578,8180
2578,6034
2578,2576
2578,2575
2578,8238
2578,2581
2578,2551
2578,2590
2578,6037
2578,2586
2578,6038
2578,2597
2578,2595
2578,2602
2578,2528
2578,2599
2578,2550
2578,2613
2578,2610
2578,7394
2578,2612
2578,2619
2578,2621
2578,2623
2578,2635
2578,2633
2578,2638
2578,2539
6039,2537
6039,2528
6039,2621
2638,2537
2638,2612
2638,2621
2638,2578
2539,2599
2539,2578
2526,4092
2545,2531
3988,2816
2560,2545
2551,2564
2816,3988
4092,2551
2688,2673
2802,2792
2812,2789
2792,2812
2789,2802
2789,2762
2789,2771
2762,2789
2771,2789
2442,2454
2442,2699
2442,2501
2442,2513
2442,2443
2442,2517
2442,2487
2442,2455
2442,2545
2442,2488
2442,2555
2442,2470
2442,4061
2442,2560
2442,2564
2442,2471
2442,2458
2442,2477
2442,2467
2442,2508
2442,2452
2442,2816
2442,2509
2442,6777
2442,2599
2442,2439
2442,2474
2442,2490
2442,2469
2442,2495
2442,2496
2442,8914
2442,2440
2442,2512
2442,2650
2442,2456
2442,2441
2442,2476
2442,2460
2442,2461
2442,2497
2442,2491
2454,2442
2454,2467
2699,2442
2699,3988
2501,2442
2709,3988
2513,2442
2513,2443
2513,3988
2513,2452
2531,3988
2851,3988
2537,2442
2443,2442
2443,2513
2443,3988
2443,2477
2443,2452
2443,2476
2517,2442
2487,2442
2487,2509
2455,2442
2545,2442
2488,2442
3988,2699
3988,2709
3988,2513
3988,2531
3988,2851
3988,2443
3988,4061
3988,2560
3988,2564
3988,2471
3988,2789
3988,2452
3988,2816
3988,2490
3988,2440
3988,2650
3988,2497
3988,2771
2555,2442
2470,2442
4061,2442
4061,3988
4061,2497
2560,2442
2560,3988
2564,2442
2564,3988
2471,2442
2471,3988
2471,2476
2458,2442
2477,2442
2477,2443
2789,3988
2467,2442
2508,2442
2452,2442
2452,2513
2452,2443
2452,3988
2452,2509
2452,2476
2816,2442
2816,3988
2509,2442
2509,2487
2509,2452
6777,2442
2599,2442
2439,2442
2474,2442
2490,2442
2490,3988
2469,2442
2495,2442
2496,2442
8914,2442
2440,2442
2440,3988
2512,2454
2650,2442
2650,3988
2456,2442
2441,2442
2476,2442
2476,2443
2476,2471
2476,2452
2460,2442
2461,2442
2497,2442
2497,3988
2497,4061
2491,2490
2771,3988
2749,2709
2651,2789
2651,2650
2726,2729
2699,2789
2752,2709
2705,2709
2710,2709
2710,2715
2710,2745
2708,2709
2708,2745
2709,2749
2709,2752
2709,2705
2709,2710
2709,2708
2709,2712
2709,2851
2709,2715
2709,2714
2709,2713
2709,2717
2709,2718
2709,6055
2709,3988
2709,2719
2709,2560
2709,2564
2709,2673
2709,2724
2709,2728
2709,2789
2709,2762
2709,2745
2709,2731
2709,2733
2709,2734
2709,2738
2709,6054
2709,2739
2709,2741
2709,2742
2709,2746
2709,2650
2709,2747
2709,2748
2709,2753
2709,2688
2709,2755
2709,2756
2712,2709
2851,2709
2851,2789
2715,2710
2715,2709
2715,2714
2715,2722
2715,2673
2715,2789
2715,2745
2715,2742
2715,2716
2714,2709
2714,2715
2714,2745
2713,2709
2713,2745
2717,2709
2718,2709
2729,2726
2729,2753
6055,2709
3988,2709
3988,2789
2719,2709
2560,2709
2560,2789
2722,2715
2564,2709
2564,2789
2673,2709
2673,2715
2673,2789
2724,2709
2728,2709
2789,2651
2789,2699
2789,2709
2789,2851
2789,2715
2789,3988
2789,2560
2789,2564
2789,2673
2789,2762
2789,2745
2789,2816
2789,2599
2789,2650
2789,2688
2789,2771
2762,2709
2762,2789
2745,2710
2745,2708
2745,2709
2745,2715
2745,2714
2745,2713
2745,2789
2745,2748
2731,2709
2816,2789
2732,2756
2733,2709
2734,2709
2738,2709
6054,2709
2739,2709
2599,2789
2741,2709
2742,2709
2742,2715
2746,2709
2650,2651
2650,2709
2650,2789
2747,2709
2748,2709
2748,2745
2716,2715
2753,2709
2753,2729
2688,2709
2688,2789
2755,2709
2756,2709
2756,2732
2771,2789
2749,2710
2749,2709
2749,2715
2749,2714
2749,2745
2749,2739
2710,2749
2710,2709
2708,2709
2709,2749
2709,2710
2709,2708
2709,2851
2709,2715
2709,2714
2709,2728
2709,2745
2709,2739
2709,2748
2709,2688
2851,2709
2851,2745
2715,2749
2715,2709
2714,2749
2714,2709
2728,2709
2745,2749
2745,2709
2745,2851
2739,2749
2739,2709
2748,2709
2688,2709
3988,2560
2560,3988
2709,2851
2709,2688
2851,2709
2715,6047
2671,2673
2671,2688
6047,2715
6047,2673
6047,2688
2690,2688
2672,2673
2564,2688
2673,2671
2673,6047
2673,2672
2673,6046
2673,2678
2673,6045
2673,2688
2789,2688
6046,2673
6046,2688
2678,2673
2678,2670
2683,2688
2670,2678
2670,2688
6045,2673
10792,2688
2688,2709
2688,2671
2688,6047
2688,2690
2688,2564
2688,2673
2688,2789
2688,6046
2688,2683
2688,2670
2688,2697
2688,2680
2680,10792
2560,2564
2442,2564
2522,2560
2522,2564
2522,2621
2699,2564
2526,2531
2526,2559
2526,2560
2526,2564
2526,2584
2526,2551
2526,2591
2526,2616
2526,4092
4209,2537
4209,2564
4209,2621
2531,2526
2531,2548
2531,2618
2531,2538
2531,2537
2531,2545
2531,2559
2531,2560
2531,2564
2531,2562
2531,2572
2531,2575
2531,2584
2531,2551
2531,2590
2531,2597
2531,4214
2531,2599
2531,2607
2531,2609
2531,2610
2531,2612
2531,2616
2531,2621
2531,2623
2531,2578
2533,2551
2851,2564
2548,2531
2548,2618
2548,2538
2548,2560
2548,2564
2548,2607
2618,2531
2618,2548
2618,2538
2618,4215
2618,2537
2618,2545
2618,2547
2618,2555
2618,2560
2618,2562
2618,2576
2618,8238
2618,2581
2618,2586
2618,2595
2618,2599
2618,2550
2618,2612
2618,2621
2618,2633
2618,2638
2538,2531
2538,2548
2538,2618
2538,2560
2538,2564
2538,2586
4215,2618
2537,4209
2537,2531
2537,2618
2537,2560
2537,2564
2537,2562
2537,2569
2537,2587
2537,2610
2537,2612
2537,2621
2537,2633
2537,2578
2537,2638
2443,2564
2577,2621
2545,2531
2545,2618
2545,3988
2545,2560
2545,2564
2545,2554
2545,2581
2545,2586
2545,2599
2545,2578
2547,2618
2549,2609
3988,2545
3988,2555
3988,2559
3988,2560
3988,2564
3988,2599
2556,2610
2555,2618
2555,3988
2555,2560
2555,2564
2555,2599
2555,2539
2559,2526
2559,2531
2559,3988
2559,2560
2559,2564
2559,2597
2559,2610
2559,2616
2559,2621
2559,2623
2560,2522
2560,2526
2560,2531
2560,2548
2560,2618
2560,2538
2560,2537
2560,2545
2560,3988
2560,2555
2560,2559
2560,2564
2560,2562
2560,2554
2560,2575
2560,2551
2560,2590
2560,2597
2560,2595
2560,2599
2560,2610
2560,2616
2560,2621
2560,2578
2560,2638
2564,2442
2564,2522
2564,2699
2564,2526
2564,4209
2564,2531
2564,2851
2564,2548
2564,2538
2564,2537
2564,2443
2564,2545
2564,3988
2564,2555
2564,2559
2564,2560
2564,2562
2564,2554
2564,2575
2564,2581
2564,2551
2564,2590
2564,2586
2564,2816
2564,2597
2564,2595
2564,2599
2564,2610
2564,2440
2564,2612
2564,2616
2564,2621
2564,2623
2564,2633
2564,2638
2564,2771
2562,2531
2562,2618
2562,2537
2562,2560
2562,2564
2554,2545
2554,2560
2554,2564
2572,2531
2572,2616
2569,2537
2569,2621
6034,2610
2576,2618
2575,2531
2575,2560
2575,2564
8238,2618
2581,2618
2581,2545
2581,2564
2584,2526
2584,2531
2551,2526
2551,2531
2551,2533
2551,2560
2551,2564
2551,2607
2551,4092
2591,2526
2590,2531
2590,2560
2590,2564
2590,2621
2586,2618
2586,2538
2586,2545
2586,2564
2587,2537
2816,2564
2816,2599
2597,2531
2597,2559
2597,2560
2597,2564
2597,2621
2595,2618
2595,2560
2595,2564
4214,2531
2604,2610
2599,2531
2599,2618
2599,2545
2599,3988
2599,2555
2599,2560
2599,2564
2599,2816
2550,2618
2607,2531
2607,2548
2607,2551
2607,2609
2609,2531
2609,2549
2609,2607
2610,2531
2610,2537
2610,2556
2610,2559
2610,2560
2610,2564
2610,6034
2610,2604
2610,2621
2440,2564
2612,2531
2612,2618
2612,2537
2612,2564
2612,2638
2616,2526
2616,2531
2616,2559
2616,2560
2616,2564
2616,2572
2621,2522
2621,4209
2621,2531
2621,2618
2621,2537
2621,2577
2621,2559
2621,2560
2621,2564
2621,2569
2621,2590
2621,2597
2621,2610
2621,2638
4092,2526
4092,2551
2623,2531
2623,2559
2623,2564
2633,2618
2633,2537
2633,2564
2578,2531
2578,2537
2578,2545
2578,2560
2638,2618
2638,2537
2638,2560
2638,2564
2638,2612
2638,2621
2771,2564
2539,2555
2651,2645
2651,2649
2651,2662
2651,2650
2641,2651
2641,2649
2641,2762
2642,2665
2642,2647
2656,2665
2656,2650
2656,2667
2656,2664
2645,2651
2645,4312
2645,2662
2645,2650
4312,2645
4312,2662
4312,2650
3988,2650
2564,2650
2649,2651
2649,2641
2649,2650
2762,2641
2662,2651
2662,2645
2662,4312
2662,2650
2665,2642
2665,2656
2665,2647
2665,2650
2647,2642
2647,2665
2650,2651
2650,2656
2650,2645
2650,4312
2650,3988
2650,2564
2650,2649
2650,2662
2650,2665
